teamId,teamName,submissionDate,score
13173390,yoga prasetya,2025-01-01 14:09:46,1.00000
6497188,mos3 santos,2025-03-01 00:38:15,1.00000
13166715,Linxiaoting195768,2025-01-02 11:58:06,1.00000
13177709,Sanskar Dalvi,2025-01-02 18:07:45,1.00000
13179042,Rajdeep Mondal,2025-01-03 06:13:28,1.00000
13145889,[Deleted] ab53a215-687f-4612-80b8-14a185169011,2025-01-03 06:58:32,1.00000
13183011,Nelina Anna,2025-01-04 11:50:48,1.00000
12889338,zyumonji,2025-02-22 15:44:19,1.00000
13184099,maok maok,2025-01-04 18:56:10,1.00000
13195479,Mohammad Wasil Jalali,2025-01-08 05:57:27,1.00000
13197700,Rezvan Panah,2025-01-08 16:14:09,1.00000
13205164,Hamid Zafaryan,2025-01-10 17:56:10,1.00000
13205112,Aziz Zafariyan,2025-01-10 18:00:30,1.00000
13206873,Zhan Shuwei,2025-01-11 11:05:00,1.00000
4288623,Sas Pav,2025-02-04 17:55:30,1.00000
12172048,Khalil Alaei,2025-01-12 03:47:05,1.00000
13210889,Vivek Attri,2025-01-12 16:15:18,1.00000
13211200,Bhawneet Singh,2025-01-12 18:20:09,1.00000
13211140,Manmeet Singh #4,2025-01-12 18:39:22,1.00000
13212231,Jatin Arora #2,2025-01-13 04:02:28,1.00000
12821374,Pahlawan Rahmani,2025-01-13 17:50:56,1.00000
13211132,Sanyam_Sharma24,2025-01-14 04:39:33,1.00000
12801551,Veniamin_Nelin,2025-03-01 07:25:53,1.00000
13232566,Neha #11,2025-01-18 14:58:08,1.00000
13240875,Abstract_pwq,2025-01-22 06:53:52,1.00000
13241676,RIDHAMGAR,2025-01-21 07:48:05,1.00000
13221500,Ehsan.Amiri6747,2025-01-21 18:28:41,1.00000
12932725,Muhammad Firdaus #2,2025-01-22 13:22:49,1.00000
13248513,Jayaraju Gorle,2025-03-01 09:28:44,1.00000
13260868,Yeccest,2025-01-27 11:37:34,1.00000
13261145,Nihal Thakur,2025-01-26 10:54:12,1.00000
13264727,Yichi Zhang #2,2025-01-27 09:03:50,1.00000
13266072,Kashif Liaqat,2025-01-27 16:10:22,1.00000
